brand,view_cnt,cart_cnt,norm_view,norm_cart,brand_score
rosi,10607,6685,0.0301,0.0246,0.0252
levrana,13505,6062,0.0384,0.0223,0.0241
shik,20368,4382,0.0578,0.0161,0.0207
kaaral,14376,4900,0.0408,0.0180,0.0205
markell,9110,5185,0.0259,0.0191,0.0198
nitrimax,10200,5003,0.0290,0.0184,0.0196
strong,28987,3178,0.0823,0.0117,0.0195
dizao,5032,5363,0.0143,0.0197,0.0191
ardell,32090,2645,0.0911,0.0097,0.0187
benovy,5990,5122,0.0170,0.0188,0.0186
depilflax,7638,4768,0.0217,0.0175,0.0180
dartnails,4543,4991,0.0129,0.0184,0.0178
beauty-free,6278,4357,0.0178,0.0160,0.0162
soleo,1694,4111,0.0048,0.0151,0.0140
shary,3978,3808,0.0113,0.0140,0.0137
skinlite,3539,3775,0.0100,0.0139,0.0135
artex,7550,3400,0.0214,0.0125,0.0135
levissime,4876,3664,0.0138,0.0135,0.0135
bioaqua,9911,3005,0.0281,0.0111,0.0129
refectocil,4783,3489,0.0136,0.0128,0.0129
polarus,14980,2462,0.0425,0.0091,0.0127
matrix,8675,2942,0.0246,0.0108,0.0123
igrobeauty,3462,3400,0.0098,0.0125,0.0122
max,15173,2254,0.0431,0.0083,0.0121
relouis,8050,2853,0.0229,0.0105,0.0119
sophin,7797,2847,0.0221,0.0105,0.0118
lador,10346,2335,0.0294,0.0086,0.0109
opi,8293,2351,0.0236,0.0086,0.0103
jas,13200,1816,0.0375,0.0067,0.0101
ecolab,4609,2646,0.0131,0.0097,0.0101
missha,11034,1873,0.0313,0.0069,0.0096
marathon,17758,1222,0.0504,0.0045,0.0095
emil,11496,1774,0.0326,0.0065,0.0094
farmavita,8021,1943,0.0228,0.0071,0.0089
thuya,6505,2017,0.0185,0.0074,0.0086
happyfons,9487,1726,0.0269,0.0063,0.0086
bodyton,5767,2021,0.0164,0.0074,0.0084
estelare,2438,2277,0.0069,0.0084,0.0082
eunyul,1046,2175,0.0030,0.0080,0.0074
dermal,1087,2138,0.0031,0.0079,0.0073
kaypro,5935,1478,0.0169,0.0054,0.0067
matreshka,4496,1611,0.0128,0.0059,0.0067
konad,5405,1515,0.0153,0.0056,0.0066
bielenda,3494,1697,0.0099,0.0062,0.0066
elskin,1050,1845,0.0030,0.0068,0.0064
limoni,4979,1436,0.0141,0.0053,0.0063
insight,5911,1322,0.0168,0.0049,0.0062
provoc,4430,1433,0.0126,0.0053,0.0061
dermacol,9506,971,0.0270,0.0036,0.0061
siberina,4145,1398,0.0118,0.0051,0.0059
entity,4700,1279,0.0133,0.0047,0.0057
orly,4801,1217,0.0136,0.0045,0.0055
balbcare,2103,1489,0.0060,0.0055,0.0055
kocostar,2017,1475,0.0057,0.0054,0.0055
kiss,4754,1070,0.0135,0.0039,0.0050
zeitun,3807,1175,0.0108,0.0043,0.0050
sunuv,8909,667,0.0253,0.0025,0.0050
estrade,3235,1188,0.0092,0.0044,0.0049
trind,7988,673,0.0227,0.0025,0.0047
lowence,2669,1086,0.0076,0.0040,0.0044
lamixx,2564,978,0.0073,0.0036,0.0040
luxvisage,1800,1005,0.0051,0.0037,0.0039
yllozure,2120,948,0.0060,0.0035,0.0038
moyou,4698,676,0.0133,0.0025,0.0037
enigma,2070,926,0.0059,0.0034,0.0037
kosmekka,8735,281,0.0248,0.0010,0.0036
profhenna,1923,912,0.0055,0.0034,0.0036
gehwol,2268,855,0.0064,0.0031,0.0035
jaguar,3998,649,0.0114,0.0024,0.0034
kezy,3192,735,0.0091,0.0027,0.0034
keen,2763,742,0.0078,0.0027,0.0033
farmona,2912,719,0.0083,0.0026,0.0033
supertan,340,973,0.0010,0.0036,0.0033
mavala,2962,706,0.0084,0.0026,0.0032
