user_group,session_hour,session_day,session_count,avg_cart_value,avg_product_count,avg_price_per_item,avg_session_duration_min
explicit_abandon,08,Friday,946,40.97,6.60,8.93,62.82
explicit_abandon,08,Monday,1021,40.72,6.56,11.19,66.93
explicit_abandon,08,Saturday,808,41.77,7.88,8.55,53.54
explicit_abandon,08,Thursday,1055,42.02,7.04,11.48,48.99
explicit_abandon,08,Tuesday,1107,40.64,6.97,8.96,45.48
explicit_abandon,08,Sunday,808,46.74,7.56,10.24,38.46
explicit_abandon,08,Wednesday,1053,42.56,6.97,9.14,35.54
no_cart,09,Tuesday,396,31.34,6.66,6.7,51.20
no_cart,09,Wednesday,340,33.88,5.49,12.4,32.30
no_cart,09,Friday,328,30.07,5.58,6.48,61.32
no_cart,09,Sunday,295,30.42,5.55,6.6,39.91
no_cart,09,Saturday,289,32.65,6.18,7.08,46.89
no_cart,09,Thursday,375,26.91,5.79,6.2,50.99
no_cart,09,Monday,415,26.94,5.70,6.09,52.21
purchase,09,Thursday,689,37.41,6.00,10.54,41.21
purchase,09,Friday,653,46.96,5.75,12.52,40.12
purchase,09,Monday,762,41,6.15,11.35,44.08
purchase,09,Saturday,492,39.76,5.77,11.65,34.47
purchase,09,Sunday,560,42.42,6.76,11.24,36.78
purchase,09,Tuesday,758,41.29,6.03,12.39,37.15
purchase,09,Wednesday,702,47.33,6.63,12.77,37.21
implicit_abandon,09,Friday,2398,17.39,2.74,8.51,22.71
implicit_abandon,09,Monday,2773,17.66,2.75,8.85,18.92
implicit_abandon,09,Saturday,2051,21,2.93,9.61,21.16
implicit_abandon,09,Sunday,2151,20.03,2.88,9.34,14.02
implicit_abandon,09,Tuesday,2745,19.01,2.86,8.68,18.65
implicit_abandon,09,Wednesday,2477,20.32,2.98,9.51,12.83
implicit_abandon,09,Thursday,2668,17.39,2.83,8.16,20.64
explicit_abandon,09,Monday,1112,40.62,6.89,9.36,59.22
explicit_abandon,09,Saturday,793,42.58,7.44,10.66,41.06
explicit_abandon,09,Sunday,882,46.85,8.17,11.21,33.07
explicit_abandon,09,Friday,990,38.86,6.14,9.87,51.44
explicit_abandon,09,Tuesday,1127,42.79,7.22,8.57,49.75
explicit_abandon,09,Thursday,1018,41.34,6.80,9.44,48.02
explicit_abandon,09,Wednesday,1103,41.96,8.07,10.63,32.67
no_cart,10,Tuesday,394,28.66,5.82,6.63,52.02
no_cart,10,Wednesday,406,26.28,5.16,6.21,30.49
no_cart,10,Friday,355,29.61,5.42,7.08,48.61
no_cart,10,Sunday,334,27.34,5.84,6.01,29.92
no_cart,10,Saturday,294,35.71,5.50,10.01,45.09
no_cart,10,Thursday,343,27.46,4.80,7.36,35.57
no_cart,10,Monday,402,28.12,6.00,6.31,40.67
purchase,10,Monday,739,48.75,6.33,16.31,40.67
purchase,10,Friday,655,40.14,6.51,9.76,43.70
purchase,10,Saturday,549,46.4,6.55,12.7,35.58
purchase,10,Sunday,588,40.76,6.24,10.85,37.57
purchase,10,Thursday,716,41.09,6.24,11.2,34.51
purchase,10,Tuesday,767,40.47,5.95,10.72,38.33
purchase,10,Wednesday,739,38.27,5.86,11,29.95
implicit_abandon,10,Friday,2470,18.33,2.84,9.02,15.95
implicit_abandon,10,Monday,2807,20.38,2.80,9.55,22.60
implicit_abandon,10,Sunday,2291,23.01,3.22,8.91,13.69
implicit_abandon,10,Saturday,1991,22.74,3.22,9.51,19.94
implicit_abandon,10,Tuesday,2642,18.07,2.80,8.43,12.95
implicit_abandon,10,Wednesday,2608,19.26,2.92,8.97,11.38
implicit_abandon,10,Thursday,2680,18.78,2.98,8.63,14.62
explicit_abandon,10,Monday,1170,46.36,7.41,11.96,53.45
explicit_abandon,10,Saturday,906,43.34,7.12,10.87,43.66
explicit_abandon,10,Sunday,934,42.65,7.05,10.33,35.19
explicit_abandon,10,Friday,1013,43.84,6.89,9.37,43.30
explicit_abandon,10,Tuesday,1140,41.39,6.94,9.54,40.16
explicit_abandon,10,Thursday,1080,44.14,6.87,10.3,38.95
explicit_abandon,10,Wednesday,1088,41.51,7.34,8.44,34.18
no_cart,11,Monday,456,24.51,5.45,6.24,46.99
no_cart,11,Friday,322,25.73,5.74,5.58,43.17
no_cart,11,Wednesday,405,49.93,6.22,6.7,29.07
no_cart,11,Saturday,334,29.94,5.91,6.4,43.35
no_cart,11,Sunday,361,32.42,5.97,6.31,33.83
no_cart,11,Thursday,383,27.18,5.30,6.72,36.53
no_cart,11,Tuesday,413,37.84,6.77,6.85,37.51
purchase,11,Friday,691,41.34,6.12,11.12,39.66
purchase,11,Saturday,546,41.24,6.27,11.7,45.67
purchase,11,Thursday,700,42.34,6.35,11.86,38.79
purchase,11,Sunday,569,42.56,6.56,12.56,33.31
purchase,11,Wednesday,697,40.92,5.91,12.39,31.48
purchase,11,Monday,726,58.78,6.11,10.84,36.23
purchase,11,Tuesday,730,41.41,6.27,9.66,45.40
implicit_abandon,11,Saturday,2028,20.12,2.87,9.97,14.95
implicit_abandon,11,Thursday,2811,18.4,2.95,8.4,15.27
implicit_abandon,11,Friday,2470,20.04,3.29,8.61,18.48
implicit_abandon,11,Sunday,2385,21.11,3.11,9.39,12.48
implicit_abandon,11,Tuesday,2686,18.93,2.84,9.14,16.13
implicit_abandon,11,Wednesday,2781,17.95,2.89,8.44,12.22
implicit_abandon,11,Monday,3035,18.45,2.89,8.43,17.63
explicit_abandon,11,Thursday,1172,41.99,7.03,10.01,37.67
explicit_abandon,11,Saturday,938,51.15,7.83,10.64,41.21
explicit_abandon,11,Friday,956,44.9,6.80,12.04,46.86
explicit_abandon,11,Wednesday,1139,47.03,7.28,12.49,29.95
explicit_abandon,11,Sunday,1054,44.12,7.54,9.51,32.69
explicit_abandon,11,Monday,1204,41.88,7.31,10.16,46.39
explicit_abandon,11,Tuesday,1154,38.68,6.98,8.13,37.39
no_cart,12,Friday,347,29.62,5.58,7.34,47.10
no_cart,12,Monday,487,29.71,5.66,6.41,42.53
no_cart,12,Saturday,297,28.26,5.78,6.68,33.02
no_cart,12,Sunday,368,26.5,4.91,6.59,29.74
no_cart,12,Thursday,357,38.35,7.51,6.54,35.60
no_cart,12,Tuesday,397,28.49,5.30,6.43,43.51
no_cart,12,Wednesday,408,28.56,5.90,6.23,28.64
purchase,12,Friday,596,39.53,5.98,10.56,39.94
purchase,12,Monday,837,39.54,6.01,10.57,37.58
purchase,12,Saturday,482,46.38,6.00,15.63,36.21
purchase,12,Sunday,559,41.68,6.35,11.99,34.35
purchase,12,Thursday,617,40.41,5.89,10.6,36.83
purchase,12,Tuesday,743,38.66,5.96,10.46,31.99
purchase,12,Wednesday,707,37.61,5.41,11.99,30.51
implicit_abandon,12,Friday,2471,22.66,3.23,8.45,12.86
implicit_abandon,12,Monday,3380,19.36,3.16,8.7,11.64
implicit_abandon,12,Saturday,2052,19.12,3.18,8.56,14.15
implicit_abandon,12,Sunday,2311,19.99,3.00,10.08,11.24
implicit_abandon,12,Thursday,2727,18.41,2.94,8.59,14.82
implicit_abandon,12,Tuesday,2733,17.85,2.83,8.39,14.38
implicit_abandon,12,Wednesday,3110,19.57,3.20,8.24,12.06
explicit_abandon,12,Saturday,897,45.59,7.75,9.97,40.58
